Bandit,Reward,Algorithm
2.0,2.4029955187056276,EpsilonGreedy
2.0,2.2630248587993034,EpsilonGreedy
1.0,2.507754397389606,EpsilonGreedy
1.0,3.380661525433047,EpsilonGreedy
1.0,2.803205297883819,EpsilonGreedy
1.0,1.8484023410191324,EpsilonGreedy
1.0,0.4542210615192963,EpsilonGreedy
2.0,3.866023873784589,EpsilonGreedy
2.0,2.961323913589534,EpsilonGreedy
2.0,2.8214432297506935,EpsilonGreedy
2.0,1.5339737001823912,EpsilonGreedy
2.0,2.1934481650012305,EpsilonGreedy
2.0,-0.2629699270171888,EpsilonGreedy
2.0,2.725872080510336,EpsilonGreedy
2.0,3.4289680705199608,EpsilonGreedy
1.0,1.5311999340502886,EpsilonGreedy
2.0,3.782660812102752,EpsilonGreedy
2.0,3.508948008208873,EpsilonGreedy
2.0,3.8088745671701716,EpsilonGreedy
2.0,3.363314092457557,EpsilonGreedy
2.0,2.599470603151461,EpsilonGreedy
2.0,1.0727054490450143,EpsilonGreedy
2.0,3.4234253916677386,EpsilonGreedy
2.0,1.910886783218952,EpsilonGreedy
2.0,1.826590981959173,EpsilonGreedy
2.0,4.332488088732924,EpsilonGreedy
2.0,2.9954488635523755,EpsilonGreedy
2.0,4.183338093927251,EpsilonGreedy
3.0,3.359503833222613,EpsilonGreedy
3.0,4.8775436898109685,EpsilonGreedy
3.0,2.162474552119969,EpsilonGreedy
3.0,4.779206614268259,EpsilonGreedy
3.0,5.042042317228809,EpsilonGreedy
3.0,4.985099653916488,EpsilonGreedy
3.0,3.429349128973755,EpsilonGreedy
3.0,3.8966002999208142,EpsilonGreedy
3.0,3.746721456761887,EpsilonGreedy
3.0,4.311444318564902,EpsilonGreedy
3.0,4.002497069357307,EpsilonGreedy
3.0,5.6044795375758225,EpsilonGreedy
3.0,6.243425541077798,EpsilonGreedy
3.0,3.686291761762383,EpsilonGreedy
3.0,4.15692340732339,EpsilonGreedy
3.0,3.8608066582120184,EpsilonGreedy
3.0,3.5703307292975497,EpsilonGreedy
3.0,3.5614950074847544,EpsilonGreedy
3.0,1.5441022727327165,EpsilonGreedy
3.0,2.3829103594547223,EpsilonGreedy
3.0,3.7475575036791247,EpsilonGreedy
3.0,4.653583520172161,EpsilonGreedy
3.0,3.1005194158659055,EpsilonGreedy
3.0,5.084001551190194,EpsilonGreedy
3.0,5.132858512089799,EpsilonGreedy
3.0,4.883923012613115,EpsilonGreedy
3.0,3.18855798529908,EpsilonGreedy
3.0,2.5864500222110767,EpsilonGreedy
3.0,5.381106573329177,EpsilonGreedy
3.0,3.2713638607697604,EpsilonGreedy
3.0,4.0672239418054925,EpsilonGreedy
3.0,4.490150932436834,EpsilonGreedy
3.0,4.701759798587766,EpsilonGreedy
3.0,3.352014381394601,EpsilonGreedy
3.0,4.89787230238624,EpsilonGreedy
3.0,4.647095602438463,EpsilonGreedy
3.0,3.5636690409616256,EpsilonGreedy
3.0,4.033270168391016,EpsilonGreedy
3.0,5.680822552526381,EpsilonGreedy
3.0,6.913249911318935,EpsilonGreedy
3.0,3.5654277787821695,EpsilonGreedy
3.0,4.507203899804086,EpsilonGreedy
3.0,4.870353646051171,EpsilonGreedy
3.0,3.3561620231807003,EpsilonGreedy
3.0,3.305592518696994,EpsilonGreedy
3.0,3.887198175367691,EpsilonGreedy
3.0,4.828085572263314,EpsilonGreedy
3.0,3.583796062840076,EpsilonGreedy
3.0,3.629755318547217,EpsilonGreedy
3.0,3.643227824796371,EpsilonGreedy
3.0,4.590018261168566,EpsilonGreedy
3.0,3.7157799857875755,EpsilonGreedy
3.0,3.5342521170795798,EpsilonGreedy
3.0,4.705187513469081,EpsilonGreedy
3.0,4.876781402451737,EpsilonGreedy
3.0,3.0529684795960756,EpsilonGreedy
3.0,3.1054458384566956,EpsilonGreedy
3.0,4.925034259125794,EpsilonGreedy
3.0,3.5423274324246825,EpsilonGreedy
3.0,4.362090715961968,EpsilonGreedy
3.0,4.400243870778948,EpsilonGreedy
3.0,5.506968216400326,EpsilonGreedy
3.0,3.061182431438881,EpsilonGreedy
3.0,4.256539391702996,EpsilonGreedy
3.0,3.7617070860049484,EpsilonGreedy
3.0,2.594062434405049,EpsilonGreedy
3.0,4.902444921142951,EpsilonGreedy
3.0,3.488210461370746,EpsilonGreedy
3.0,3.247054744309879,EpsilonGreedy
3.0,5.611656678855163,EpsilonGreedy
3.0,4.100223351287836,EpsilonGreedy
3.0,3.137225735215167,EpsilonGreedy
3.0,3.8236606582177077,EpsilonGreedy
3.0,3.965210876307754,EpsilonGreedy
3.0,3.964430963257334,EpsilonGreedy
3.0,5.375246864565785,EpsilonGreedy
3.0,5.424239313199429,EpsilonGreedy
3.0,5.009023132023441,EpsilonGreedy
3.0,4.074444535893151,EpsilonGreedy
3.0,2.265494830883398,EpsilonGreedy
3.0,5.215005417513653,EpsilonGreedy
3.0,3.9881187181612905,EpsilonGreedy
3.0,5.006400734612958,EpsilonGreedy
3.0,3.950386742795164,EpsilonGreedy
2.0,2.0395261553385766,EpsilonGreedy
3.0,4.259442278921973,EpsilonGreedy
3.0,3.0246838271996563,EpsilonGreedy
3.0,4.777626478496057,EpsilonGreedy
3.0,4.6668234984864965,EpsilonGreedy
3.0,2.7027756302636505,EpsilonGreedy
3.0,6.24980672991269,EpsilonGreedy
3.0,1.9249743448427385,EpsilonGreedy
3.0,1.9845118282898766,EpsilonGreedy
3.0,3.1845214266233377,EpsilonGreedy
3.0,2.720162118387222,EpsilonGreedy
3.0,4.786075685948291,EpsilonGreedy
3.0,3.1652275708571294,EpsilonGreedy
3.0,3.8439166103540447,EpsilonGreedy
0.0,0.6740368377216688,EpsilonGreedy
3.0,4.740741876118286,EpsilonGreedy
3.0,3.8469434903957613,EpsilonGreedy
3.0,2.9843825267724817,EpsilonGreedy
3.0,3.8290151198322673,EpsilonGreedy
3.0,5.319934796728393,EpsilonGreedy
3.0,2.8469367220257746,EpsilonGreedy
3.0,2.125693689472328,EpsilonGreedy
3.0,2.1758354823326096,EpsilonGreedy
3.0,2.267427620838488,EpsilonGreedy
3.0,2.514099719820895,EpsilonGreedy
3.0,3.6492247569819956,EpsilonGreedy
3.0,3.1578503032846257,EpsilonGreedy
3.0,4.923706852914914,EpsilonGreedy
3.0,5.013891895110028,EpsilonGreedy
3.0,4.773078569367912,EpsilonGreedy
3.0,3.9253457138166215,EpsilonGreedy
3.0,2.7407477671506024,EpsilonGreedy
3.0,3.9780233739418867,EpsilonGreedy
3.0,5.412117877446155,EpsilonGreedy
3.0,4.7064830578763015,EpsilonGreedy
3.0,3.663725377002949,EpsilonGreedy
3.0,4.4697222237671985,EpsilonGreedy
3.0,2.166754957963385,EpsilonGreedy
3.0,3.259318397748101,EpsilonGreedy
3.0,5.238604565160692,EpsilonGreedy
3.0,3.525762812175888,EpsilonGreedy
3.0,4.133477888396495,EpsilonGreedy
3.0,2.863979186906616,EpsilonGreedy
3.0,3.2097903777586634,EpsilonGreedy
3.0,5.17120234707731,EpsilonGreedy
3.0,2.723078684999541,EpsilonGreedy
3.0,3.9677805294935276,EpsilonGreedy
3.0,5.0170355136485245,EpsilonGreedy
3.0,3.464511442201681,EpsilonGreedy
3.0,3.3195881759256034,EpsilonGreedy
3.0,5.014334458639391,EpsilonGreedy
3.0,4.587611316244123,EpsilonGreedy
3.0,4.84579958605257,EpsilonGreedy
3.0,3.4129429020816304,EpsilonGreedy
3.0,3.59249329960367,EpsilonGreedy
3.0,3.267324173106033,EpsilonGreedy
3.0,3.940755002666902,EpsilonGreedy
3.0,4.877534953885886,EpsilonGreedy
3.0,5.082627210440423,EpsilonGreedy
3.0,2.9784004048693586,EpsilonGreedy
3.0,3.2653415248863187,EpsilonGreedy
3.0,3.815608909596889,EpsilonGreedy
3.0,3.904346246476367,EpsilonGreedy
3.0,3.7678887270032373,EpsilonGreedy
3.0,5.360122373049654,EpsilonGreedy
3.0,5.103416813572635,EpsilonGreedy
3.0,3.937600268728107,EpsilonGreedy
3.0,5.134702944119981,EpsilonGreedy
3.0,4.851820894597763,EpsilonGreedy
3.0,4.139747139023159,EpsilonGreedy
3.0,3.816026365179715,EpsilonGreedy
3.0,5.021393394660943,EpsilonGreedy
3.0,3.1355733827588725,EpsilonGreedy
3.0,4.744968425856223,EpsilonGreedy
3.0,5.1687429694318965,EpsilonGreedy
3.0,5.205724866923885,EpsilonGreedy
3.0,3.5533818701120476,EpsilonGreedy
3.0,5.1111279659713995,EpsilonGreedy
3.0,4.2801497823367,EpsilonGreedy
3.0,3.6923236253610408,EpsilonGreedy
3.0,2.6246417494508467,EpsilonGreedy
3.0,2.59102781667014,EpsilonGreedy
3.0,2.528719226842216,EpsilonGreedy
3.0,4.080684534539206,EpsilonGreedy
3.0,3.3890072417032115,EpsilonGreedy
3.0,3.4171368651970173,EpsilonGreedy
3.0,1.7905424128727878,EpsilonGreedy
3.0,2.853251159825551,EpsilonGreedy
3.0,4.868934474961624,EpsilonGreedy
3.0,4.014493951957011,EpsilonGreedy
3.0,3.824016432652965,EpsilonGreedy
3.0,3.6967197467675503,EpsilonGreedy
3.0,3.761057787129638,EpsilonGreedy
3.0,3.9800868870236883,EpsilonGreedy
3.0,4.73028151993731,EpsilonGreedy
3.0,3.310921261913194,EpsilonGreedy
3.0,2.9115180319312275,EpsilonGreedy
3.0,3.6950956599267957,EpsilonGreedy
3.0,3.9527933420491213,EpsilonGreedy
3.0,5.585533245046623,EpsilonGreedy
3.0,2.2421603054466432,EpsilonGreedy
3.0,3.323386429505097,EpsilonGreedy
3.0,6.213682289817349,EpsilonGreedy
3.0,3.6854152660708075,EpsilonGreedy
3.0,2.0869774543490536,EpsilonGreedy
3.0,3.3688597280672203,EpsilonGreedy
3.0,4.830558416425876,EpsilonGreedy
3.0,5.145056923349726,EpsilonGreedy
3.0,3.7492430639458854,EpsilonGreedy
3.0,4.821583366318524,EpsilonGreedy
3.0,4.639569280285758,EpsilonGreedy
3.0,4.3323538588720485,EpsilonGreedy
3.0,4.604523109567851,EpsilonGreedy
3.0,4.707099049247778,EpsilonGreedy
3.0,3.248368572352141,EpsilonGreedy
3.0,5.508890354036825,EpsilonGreedy
3.0,4.453627812450122,EpsilonGreedy
3.0,5.928024698658606,EpsilonGreedy
3.0,4.287994490359104,EpsilonGreedy
3.0,2.6483051151453108,EpsilonGreedy
3.0,2.84992071654146,EpsilonGreedy
3.0,5.276309105994873,EpsilonGreedy
3.0,3.1662994162673543,EpsilonGreedy
3.0,4.573979952874675,EpsilonGreedy
3.0,6.733098271973033,EpsilonGreedy
3.0,3.0203666155019695,EpsilonGreedy
3.0,4.223166713233786,EpsilonGreedy
3.0,3.663443150192626,EpsilonGreedy
3.0,4.2083015865156135,EpsilonGreedy
3.0,2.3811095185738593,EpsilonGreedy
3.0,3.4915740297100104,EpsilonGreedy
3.0,5.952392562575881,EpsilonGreedy
3.0,4.431476329821286,EpsilonGreedy
3.0,4.546581560133909,EpsilonGreedy
3.0,3.6970188742873042,EpsilonGreedy
3.0,4.514221405375158,EpsilonGreedy
3.0,4.685365081277292,EpsilonGreedy
3.0,2.203077208352883,EpsilonGreedy
3.0,4.441114866576035,EpsilonGreedy
3.0,4.352402034111485,EpsilonGreedy
3.0,3.4315543152300307,EpsilonGreedy
3.0,3.4194794894442406,EpsilonGreedy
3.0,4.30174320400096,EpsilonGreedy
3.0,2.079197217033848,EpsilonGreedy
3.0,4.585582070602237,EpsilonGreedy
3.0,4.03442571945888,EpsilonGreedy
3.0,4.899946096897202,EpsilonGreedy
3.0,3.546264302823106,EpsilonGreedy
3.0,4.985058512232165,EpsilonGreedy
3.0,4.61964317832373,EpsilonGreedy
3.0,3.6080432204872848,EpsilonGreedy
3.0,4.297923928367202,EpsilonGreedy
3.0,5.578653488983147,EpsilonGreedy
3.0,3.683899463359808,EpsilonGreedy
3.0,5.214288469371344,EpsilonGreedy
3.0,1.9871118459265729,EpsilonGreedy
3.0,1.781689018212259,EpsilonGreedy
3.0,3.293798343778285,EpsilonGreedy
3.0,4.6864710469759325,EpsilonGreedy
3.0,5.557126043588285,EpsilonGreedy
3.0,3.3348541931512536,EpsilonGreedy
3.0,3.7572335803987427,EpsilonGreedy
3.0,4.509260828652263,EpsilonGreedy
3.0,2.520203487590843,EpsilonGreedy
3.0,4.852074690788281,EpsilonGreedy
3.0,4.85458549875136,EpsilonGreedy
3.0,5.264412177078908,EpsilonGreedy
3.0,2.9711355466994793,EpsilonGreedy
3.0,4.435038708347688,EpsilonGreedy
3.0,6.860906296256747,EpsilonGreedy
3.0,4.559458499898417,EpsilonGreedy
3.0,4.696179444076362,EpsilonGreedy
3.0,4.281390631418088,EpsilonGreedy
3.0,2.3719701592526765,EpsilonGreedy
3.0,3.2249994863920524,EpsilonGreedy
3.0,3.8375201481269667,EpsilonGreedy
3.0,4.814073233872605,EpsilonGreedy
3.0,2.5518446712356875,EpsilonGreedy
3.0,3.341120995848856,EpsilonGreedy
3.0,3.7759739598825086,EpsilonGreedy
3.0,3.8640198327374433,EpsilonGreedy
3.0,3.777816106855695,EpsilonGreedy
3.0,2.2445068671601107,EpsilonGreedy
3.0,3.807036884058469,EpsilonGreedy
3.0,3.7639601705087538,EpsilonGreedy
3.0,3.128079864269758,EpsilonGreedy
3.0,2.8725792144358584,EpsilonGreedy
3.0,4.267859976417887,EpsilonGreedy
3.0,4.745634945773413,EpsilonGreedy
3.0,3.640925985051275,EpsilonGreedy
3.0,4.384553153726531,EpsilonGreedy
3.0,3.0163711059406406,EpsilonGreedy
3.0,5.3819857483975415,EpsilonGreedy
3.0,3.803893537168651,EpsilonGreedy
3.0,4.233828595642496,EpsilonGreedy
3.0,5.271514998535691,EpsilonGreedy
3.0,2.7340892595615007,EpsilonGreedy
3.0,3.1822451835219754,EpsilonGreedy
3.0,4.8213240445018455,EpsilonGreedy
3.0,4.787089431192841,EpsilonGreedy
3.0,4.428853986085742,EpsilonGreedy
3.0,2.5591774523773108,EpsilonGreedy
3.0,3.569304113715826,EpsilonGreedy
3.0,4.507407947134629,EpsilonGreedy
3.0,4.6409248372506156,EpsilonGreedy
3.0,3.6472777501715052,EpsilonGreedy
3.0,5.394640337078761,EpsilonGreedy
3.0,5.305461030424841,EpsilonGreedy
3.0,4.611897991934782,EpsilonGreedy
3.0,3.1461077622483975,EpsilonGreedy
3.0,3.93638768662911,EpsilonGreedy
3.0,3.96056330898764,EpsilonGreedy
3.0,3.6191721261039698,EpsilonGreedy
3.0,3.1158215221894556,EpsilonGreedy
3.0,3.101624416820015,EpsilonGreedy
3.0,3.3306860995647485,EpsilonGreedy
3.0,5.53217127499159,EpsilonGreedy
3.0,4.171572174953404,EpsilonGreedy
3.0,4.09532709604473,EpsilonGreedy
3.0,3.4947136149659044,EpsilonGreedy
3.0,4.287795345073277,EpsilonGreedy
3.0,3.653958781568659,EpsilonGreedy
3.0,4.363065814256081,EpsilonGreedy
3.0,4.438392328719691,EpsilonGreedy
3.0,2.8379782758378083,EpsilonGreedy
3.0,4.860952319818139,EpsilonGreedy
3.0,4.637215001940418,EpsilonGreedy
3.0,5.370012712205926,EpsilonGreedy
3.0,2.7240975435691874,EpsilonGreedy
3.0,2.887481454790267,EpsilonGreedy
3.0,2.883208430046284,EpsilonGreedy
3.0,5.679663509690062,EpsilonGreedy
3.0,4.143698243477706,EpsilonGreedy
3.0,2.3240338124218427,EpsilonGreedy
3.0,3.853173120504343,EpsilonGreedy
3.0,4.3539717129508615,EpsilonGreedy
3.0,4.955625664792047,EpsilonGreedy
3.0,4.966590962761682,EpsilonGreedy
3.0,4.608655904277338,EpsilonGreedy
3.0,5.3431465495539285,EpsilonGreedy
3.0,4.809744137149243,EpsilonGreedy
3.0,6.915389376810792,EpsilonGreedy
3.0,4.416732523308397,EpsilonGreedy
3.0,3.823248432445934,EpsilonGreedy
3.0,4.320821867936457,EpsilonGreedy
3.0,3.540164439337518,EpsilonGreedy
3.0,5.0696059816197065,EpsilonGreedy
3.0,4.071450932536697,EpsilonGreedy
3.0,3.880271672628585,EpsilonGreedy
3.0,3.836697607181508,EpsilonGreedy
3.0,3.2739768987307443,EpsilonGreedy
3.0,3.3240840430833596,EpsilonGreedy
3.0,2.7192753058660637,EpsilonGreedy
3.0,2.921848609591259,EpsilonGreedy
3.0,3.5503328902541043,EpsilonGreedy
3.0,2.195396717266945,EpsilonGreedy
3.0,3.389482926973405,EpsilonGreedy
3.0,3.4427860668327477,EpsilonGreedy
3.0,4.95134511192731,EpsilonGreedy
3.0,4.1675995440666505,EpsilonGreedy
